Linda Jones,TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,M015,ATM,70,Doctor,5112.21,0,travel
Michael Williams,TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,M052,ATM,68,Doctor,13758.91,1,travel
John Garcia,TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,M009,Online,19,Student,1122.35,1,health
Alice Miller,TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,M002,Online,26,Student,8569.06,1,electronics
John Jones,TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,M091,Online,26,Student,7429.4,1,grocery
Tom Taylor,TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,M054,ATM,18,Student,781.68,1,travel
Maria Jones,TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,M019,ATM,37,Doctor,13316.71,1,health
Tom Smith,TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,M020,Branch,67,Retired,2796.24,1,electronics
Linda Miller,TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,M035,Branch,51,Engineer,9095.14,0,travel
Alice Brown,TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,M007,ATM,55,Doctor,1021.88,0,grocery
Tom Wilson,TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,M073,Online,52,Engineer,7599.52,1,health
Linda Brown,TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,M030,Online,21,Student,1528.81,0,travel
Linda Wilson,TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Mesa,M057,Branch,24,Student,1620.02,0,electronics
Michael Wilson,TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,M025,ATM,26,Student,189.69,1,travel
Linda Miller,TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,M017,Online,18,Student,299.93,0,grocery
David Garcia,TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,M025,ATM,36,Engineer,3465.54,0,travel
Linda Garcia,TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Austin,M048,Branch,19,Student,1131.26,1,grocery
Michael Wilson,TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Columbus,M059,Online,39,Engineer,5109.97,1,electronics
John Williams,TX000019,AC00242,18.68,2023-02-21 16:56:50,Credit,Albuquerque,M054,Branch,59,Retired,7948.37,0,grocery
Emily Smith,TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,M039,Online,18,Student,6568.59,1,travel
John Davis,TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,M040,Branch,71,Retired,5750.89,1,travel
David Smith,TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,M065,Branch,38,Doctor,9146.19,0,health
David Brown,TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Atlanta,M022,Online,39,Engineer,8974.93,0,grocery
Michael Smith,TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,M083,Online,22,Student,1402.5,0,health
Tom Davis,TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,M028,Online,21,Student,1930.96,0,health
Linda Garcia,TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Houston,M043,Online,65,Retired,3634.67,1,grocery
Michael Garcia,TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,M029,ATM,23,Student,673.35,1,electronics
John Wilson,TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Milwaukee,M008,Branch,37,Engineer,2686.52,1,electronics
John Davis,TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,M092,Online,44,Doctor,1772.06,1,grocery
Tom Brown,TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,M043,Branch,27,Student,1351.69,0,grocery
James Wilson,TX000031,AC00367,28.31,2023-07-17 17:49:22,Credit,Miami,M091,Online,59,Doctor,8334.47,1,grocery
John Wilson,TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,M053,ATM,29,Doctor,9823.64,0,travel
David Jones,TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,M007,ATM,49,Engineer,9690.15,1,grocery
Sophia Jones,TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,M094,Online,22,Student,399.0,1,grocery
Emily Jones,TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,San Francisco,M002,Branch,45,Doctor,14815.87,1,electronics
James Brown,TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,M002,Branch,49,Engineer,5764.72,0,electronics
Alice Taylor,TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Milwaukee,M028,Branch,26,Student,900.61,1,travel
David Johnson,TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,San Jose,M074,ATM,75,Retired,4875.86,1,travel
James Taylor,TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,Mesa,M048,ATM,66,Doctor,7914.88,0,travel
Alice Williams,TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,M040,Online,55,Retired,1019.39,1,electronics
Tom Miller,TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,M014,ATM,63,Retired,4323.66,1,travel
Alice Miller,TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Philadelphia,M046,Online,38,Doctor,14214.48,0,electronics
Maria Taylor,TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Charlotte,M044,Online,57,Doctor,13357.02,1,travel
Tom Williams,TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,Tucson,M009,ATM,19,Student,241.79,0,electronics
Sophia Williams,TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,M005,Branch,27,Student,868.61,0,health
David Taylor,TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Chicago,M051,Branch,74,Retired,4673.28,0,travel
Sophia Jones,TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,M070,Branch,26,Student,1509.27,1,grocery
James Smith,TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,M090,Online,19,Student,781.7,0,travel
Sophia Wilson,TX000049,AC00296,626.9,2023-11-27 16:45:57,Debit,Denver,M023,Online,26,Student,265.51,1,health
Sophia Miller,TX000050,AC00471,22.01,2023-03-27 16:45:18,Credit,Sacramento,M055,Online,41,Engineer,1335.09,0,grocery
James Smith,TX000051,AC00159,425.34,2023-02-13 16:59:39,Credit,Kansas City,M040,Online,69,Retired,3907.54,1,health
Emily Wilson,TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Omaha,M015,Online,51,Engineer,5183.85,0,health
James Jones,TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,M078,Branch,67,Doctor,14904.9,1,health
Emily Davis,TX000054,AC00055,169.5,2023-09-07 16:51:27,Debit,San Diego,M036,Branch,28,Student,918.88,1,health
Linda Garcia,TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,M095,ATM,62,Retired,4477.78,1,electronics
Tom Wilson,TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,M052,Branch,25,Student,1324.03,0,travel
David Davis,TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Columbus,M095,Branch,57,Retired,3534.93,1,grocery
Alice Davis,TX000058,AC00456,292.56,2023-03-03 17:37:41,Credit,Dallas,M075,Branch,68,Retired,4638.37,1,electronics
David Jones,TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,M064,Branch,48,Engineer,5630.61,0,health
Sophia Taylor,TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Kansas City,M064,Branch,23,Student,930.3,1,health
Emily Taylor,TX000061,AC00438,568.52,2023-10-06 18:44:37,Debit,Indianapolis,M094,ATM,46,Engineer,5499.91,0,travel
Tom Garcia,TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,M087,Branch,79,Retired,4175.02,0,travel
Michael Miller,TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Las Vegas,M097,Online,48,Engineer,6651.62,0,electronics
Alice Smith,TX000064,AC00325,601.4,2023-05-30 17:43:25,Credit,Philadelphia,M001,Branch,56,Engineer,8458.29,0,travel
Linda Davis,TX000065,AC00434,5.77,2023-11-02 16:01:40,Debit,Charlotte,M071,Online,50,Doctor,13988.12,1,electronics
Maria Davis,TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Nashville,M003,Branch,42,Engineer,2585.07,1,travel
Maria Smith,TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Indianapolis,M005,Branch,56,Retired,3014.75,1,travel
Alice Taylor,TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Albuquerque,M063,Branch,25,Student,1951.42,1,health
John Brown,TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Austin,M057,Online,60,Engineer,3665.77,1,electronics
Alice Wilson,TX000070,AC00395,189.12,2023-11-13 16:42:28,Credit,Indianapolis,M040,Branch,32,Engineer,977.01,1,electronics
James Wilson,TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,M091,ATM,44,Engineer,3846.28,0,electronics
Maria Davis,TX000072,AC00053,143.21,2023-01-13 17:00:16,Debit,Dallas,M066,Online,35,Engineer,6374.82,1,health
Linda Taylor,TX000073,AC00282,24.77,2023-07-04 18:20:33,Debit,Boston,M070,ATM,62,Retired,5866.01,1,travel
Alice Garcia,TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Jacksonville,M046,Online,26,Student,6537.62,1,health
David Jones,TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Indianapolis,M036,Branch,20,Student,605.95,0,electronics
Michael Garcia,TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,Omaha,M066,ATM,37,Engineer,6689.87,1,electronics
Emily Brown,TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,M060,Online,22,Student,634.17,0,health
Michael Taylor,TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,M095,Branch,44,Doctor,14676.05,1,travel
James Smith,TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Miami,M045,Branch,19,Student,1362.39,1,health
John Garcia,TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,M032,Online,50,Doctor,10528.34,1,health
John Williams,TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,Denver,M074,ATM,38,Engineer,552.52,0,electronics
Emily Wilson,TX000082,AC00445,345.39,2023-10-23 17:13:57,Credit,Phoenix,M081,Online,58,Engineer,6451.96,0,grocery
